Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:21:17.462,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.105, 0.21, 0.017, 1.199, -0.366, 28.748, 0, 0.604, -5.845, 34.986, 0.000, 0.000, -3211.264, 25.1, 0.94455, 0.04761, -0.1308, 0.29727,
 12:21:17.508,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.445, -0.689, -0.02, 0.805, 0.488, -62.927, -0.305, -2.51, 45.78, 129.946, 0.000, 0.000, -3211.264, 24.95, 0.3476, -0.5134, 0.21365, 0.75488,
 12:21:17.522,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.105, 0.181, 0.018, 1.178, -0.427, 31.067, 0, 0.588, -4.559, 35.008, 0.000, 0.000, -3211.264, 25.1, 0.95288, 0.01614, -0.03424, 0.30075,
 12:21:17.522,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.105, 0.203, 0.016, 1.167, -0.366, 27.466, 0, 0.571, -3.34, 35.024, 0.000, 0.000, -3211.264, 25.1, 0.95288, 0.01614, -0.03424, 0.30075,
 12:21:17.552,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.550, 0.187, 0.014, 1.158, -0.366, 26.001, 0, 0.56, -2.291, 35.041, 0.000, 0.000, -3211.264, 25.1, 0.95288, 0.01614, -0.03424, 0.30075,
 12:21:17.568,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.445, -0.621, -0.02, 0.808, 0.427, -56.396, -0.183, -2.351, 42.962, 130.122, 0.000, 0.000, -3211.264, 24.95, 0.38336, -0.35208, 0.14209, 0.84189,
 12:21:17.643,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.550, 0.111, 0.014, 1.146, -0.488, 29.175, 0, 0.549, -1.176, 35.057, 0.000, 0.000, -3211.264, 25.1, 0.95288, 0.01614, -0.03424, 0.30075,
 12:21:17.659,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.860, -0.631, -0.018, 0.809, 0.488, -62.744, -0.183, -2.214, 40.106, 130.287, 0.000, 0.000, -3211.264, 24.95, 0.38336, -0.35208, 0.14209, 0.84189,
 12:21:17.659,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.860, -0.592, -0.018, 0.907, 0.488, -66.345, -0.183, -2.076, 36.87, 130.452, 0.000, 0.000, -3211.264, 24.95, 0.38336, -0.35208, 0.14209, 0.84189,
 12:21:17.672,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.550, 0.123, 0.014, 1.122, -0.488, 26.55, 0, 0.533, -0.011, 35.074, 0.000, 0.000, -3211.264, 25.1, 0.95288, 0.01614, -0.03424, 0.30075,
 12:21:17.687,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.860, -0.475, -0.018, 0.919, 0.366, -58.533, -0.183, -1.961, 33.865, 130.589, 0.000, 0.000, -3211.264, 24.95, 0.38336, -0.35208, 0.14209, 0.84189,
 12:21:17.735,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.550, 0.13, 0.016, 1.117, -0.366, 23.376, 0, 0.516, 0.961, 35.09, 0.000, 0.000, -3211.264, 25.1, 0.95288, 0.01614, -0.03424, 0.30075,
 12:21:17.763,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.550, 0.079, 0.015, 1.105, -0.305, 25.696, 0, 0.511, 1.884, 35.101, 0.000, 0.000, -3211.264, 25.1, 0.95288, 0.01614, -0.03424, 0.30075,
 12:21:17.779,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.860, -0.456, -0.017, 0.898, 0.427, -61.462, -0.244, -1.868, 31.08, 130.704, 0.000, 0.000, -3211.264, 24.95, 0.38336, -0.35208, 0.14209, 0.84189,
 12:21:17.809,c3:a3:c5:ed:f8:8e, 2015-01-01 00:31:12.860, -0.429, -0.018, 0.94, 0.549, -68.237, -0.305, -1.769, 27.933, 130.82, 0.000, 0.000, -3211.264, 24.95, 0.38336, -0.35208, 0.14209, 0.84189,
 12:21:17.852,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.550, 0.062, 0.012, 1.087, -0.427, 25.94, 0, 0.5, 2.9, 35.118, 0.000, 0.000, -3211.264, 25.1, 0.95297, -0.00452, 0.02863, 0.30148,
 12:21:17.882,ef:e4:2c:bf:73:a9, 2015-01-01 00:28:32.880, 0.07, 0.012, 1.072, -0.427, 20.874, 0, 0.489, 3.79, 35.129, 0.000, 0.000, -3211.264, 25.1, 0.95297, -0.00452, 0.02863, 0.30148,
