Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 19:05:56.331,COM16, 2000-00-00 00:25:59.410, 0.148, -0.264, 1.026, 13.000, 7.874, 44.434, -2.390, -1.500, -2.670, -3.527, 25.820, -39.113, 31.35,,,,,,,,,,,,,,,,
 19:05:56.331,COM16, 2000-00-00 00:25:59.420, 0.053, -0.264, 1.026, 13.000, 7.874, 44.434, -2.280, -1.412, -2.236, -3.540, 25.833, -39.100, 31.35,,,,,,,,,,,,,,,,
 19:05:56.331,COM13, 2000-00-00 00:27:17.515, -0.095, 0.061, 0.975, -9.644, 10.132, 90.332, 2.873, 5.955, 117.180, -34.567, 6.900, -212.233, 31.30,,,,,,,,,,,,,,,,
 19:05:56.332,COM14, 2000-00-06 17:25:57.098, 0.008, -0.042, 0.852, 1.892, -3.174, 45.410, -0.648, -0.319, 28.707, -30.193, 34.180, -31.907, 31.53,,,,,,,,,,,,,,,,
 19:05:56.347,COM16, 2000-00-00 00:25:59.430, 0.053, 0.014, 0.951, 12.451, 9.583, 46.204, -2.170, -1.307, -1.785, -3.580, 25.833, -39.120, 31.34,,,,,,,,,,,,,,,,
 19:05:56.347,COM16, 2000-00-00 00:25:59.440, 0.000, 0.014, 0.951, 12.451, 9.583, 46.204, -2.060, -1.203, -1.340, -3.633, 25.847, -39.200, 31.34,,,,,,,,,,,,,,,,
 19:05:56.347,COM16, 2000-00-00 00:25:59.450, 0.000, 0.091, 1.012, -15.930, -14.038, 44.922, -2.225, -1.335, -0.901, -3.680, 25.820, -39.227, 31.33,,,,,,,,,,,,,,,,
 19:05:56.347,COM16, 2000-00-00 00:25:59.460, 0.126, 0.091, 1.012, -15.930, -14.038, 44.922, -2.390, -1.461, -0.461, -3.433, 25.727, -39.213, 31.33,,,,,,,,,,,,,,,,
 19:05:56.362,COM16, 2000-00-00 00:25:59.470, 0.126, -0.216, 1.029, -9.277, -5.371, 46.143, -2.488, -1.500, -0.016, -3.220, 25.640, -39.307, 31.36,,,,,,,,,,,,,,,,
 19:05:56.362,COM16, 2000-00-00 00:25:59.480, 0.022, -0.216, 1.029, -9.277, -5.371, 46.143, -2.598, -1.544, 0.434, -2.787, 25.620, -39.393, 31.36,,,,,,,,,,,,,,,,
 19:05:56.362,COM16, 2000-00-00 00:25:59.490, 0.022, 0.047, 1.007, 9.888, 12.085, 47.729, -2.510, -1.406, 0.895, -2.473, 25.627, -39.353, 31.34,,,,,,,,,,,,,,,,
 19:05:56.362,COM13, 2000-00-00 00:27:17.535, -0.111, -0.040, 1.041, -7.019, 7.813, 89.539, 2.862, 6.081, 118.987, -35.600, 0.987, -211.000, 31.30,,,,,,,,,,,,,,,,
 19:05:56.362,COM14, 2000-00-06 17:25:57.118, 0.102, -0.043, 0.988, -1.831, -1.892, 47.791, -0.725, -0.357, 29.663, -29.293, 34.833, -31.747, 31.46,,,,,,,,,,,,,,,,
 19:05:56.363,COM14, 2000-00-06 17:25:57.138, 0.108, -0.089, 1.038, -0.916, -1.892, 46.570, -0.780, -0.396, 30.597, -28.720, 35.740, -31.473, 31.50,,,,,,,,,,,,,,,,
 19:05:56.378,COM16, 2000-00-00 00:25:59.500, -0.021, 0.047, 1.007, 9.888, 12.085, 47.729, -2.422, -1.274, 1.357, -2.300, 25.640, -39.300, 31.34,,,,,,,,,,,,,,,,
 19:05:56.378,COM16, 2000-00-00 00:25:59.510, -0.021, 0.095, 0.961, -9.338, -7.080, 44.189, -2.516, -1.335, 1.791, -2.160, 25.640, -39.173, 31.34,,,,,,,,,,,,,,,,
 19:05:56.378,COM13, 2000-00-00 00:27:17.555, -0.080, -0.015, 1.071, -6.958, 2.380, 84.717, 2.867, 6.141, 120.734, -35.920, -5.127, -208.933, 31.32,,,,,,,,,,,,,,,,
 19:05:56.393,COM14, 2000-00-06 17:25:57.158, 0.025, -0.100, 1.105, 2.136, -2.747, 43.152, -0.780, -0.467, 31.459, -27.707, 36.220, -31.107, 31.49,,,,,,,,,,,,,,,,
 19:05:56.393,COM14, 2000-00-06 17:25:57.178, 0.006, -0.144, 1.041, 3.784, 0.122, 41.260, -0.758, -0.478, 32.283, -26.827, 36.433, -31.093, 31.53,,,,,,,,,,,,,,,,
 19:05:56.409,COM16, 2000-00-00 00:25:59.520, -0.015, 0.095, 0.961, -9.338, -7.080, 44.189, -2.609, -1.390, 2.214, -2.020, 25.640, -38.973, 31.34,,,,,,,,,,,,,,,,
 19:05:56.409,COM13, 2000-00-00 00:27:17.575, -0.040, 0.049, 1.025, -4.761, -2.808, 85.022, 2.889, 6.097, 122.437, -36.293, -11.013, -206.393, 31.29,,,,,,,,,,,,,,,,
 19:05:56.409,COM13, 2000-00-00 00:27:17.595, -0.073, 0.050, 0.994, -5.188, -3.601, 87.097, 2.933, 5.993, 124.162, -37.360, -15.727, -203.287, 31.30,,,,,,,,,,,,,,,,
 19:05:56.424,COM14, 2000-00-06 17:25:57.198, 0.086, -0.090, 0.993, 4.089, 1.343, 40.833, -0.731, -0.461, 33.096, -25.820, 36.807, -30.747, 31.50,,,,,,,,,,,,,,,,
 19:05:56.424,COM16, 2000-00-00 00:25:59.530, -0.015, -0.054, 0.993, -14.282, -13.184, 41.504, -2.747, -1.500, 2.615, -1.920, 25.613, -38.833, 31.37,,,,,,,,,,,,,,,,
 19:05:56.424,COM16, 2000-00-00 00:25:59.540, 0.031, -0.054, 0.993, -14.282, -13.184, 41.504, -2.889, -1.615, 3.010, -1.873, 25.560, -38.793, 31.37,,,,,,,,,,,,,,,,
 19:05:56.424,COM16, 2000-00-00 00:25:59.550, 0.031, -0.131, 1.048, 9.583, 5.798, 41.138, -2.796, -1.533, 3.389, -1.893, 25.533, -38.747, 31.36,,,,,,,,,,,,,,,,
 19:05:56.440,COM16, 2000-00-00 00:25:59.560, -0.016, -0.131, 1.048, 9.583, 5.798, 41.138, -2.708, -1.456, 3.763, -1.960, 25.527, -38.820, 31.36,,,,,,,,,,,,,,,,
 19:05:56.440,COM13, 2000-00-00 00:27:17.615, -0.017, -0.039, 0.962, -6.226, -2.136, 84.656, 2.955, 5.894, 125.881, -36.727, -21.187, -198.693, 31.32,,,,,,,,,,,,,,,,
 19:05:56.440,COM13, 2000-00-00 00:27:17.635, -0.013, 0.050, 0.965, -2.502, 1.709, 84.412, 2.994, 5.850, 127.573, -35.800, -26.613, -193.727, 31.30,,,,,,,,,,,,,,,,
 19:05:56.440,COM14, 2000-00-06 17:25:57.218, 0.014, -0.014, 0.933, 3.784, 0.366, 39.734, -0.703, -0.472, 33.893, -24.527, 36.953, -30.233, 31.49,,,,,,,,,,,,,,,,
 19:05:56.471,COM13, 2000-00-00 00:27:17.655, -0.089, 0.100, 0.943, -3.113, 5.371, 88.806, 3.076, 5.872, 129.309, -36.547, -30.887, -189.507, 31.30,,,,,,,,,,,,,,,,
 19:05:56.471,COM14, 2000-00-06 17:25:57.238, -0.030, -0.009, 0.981, 2.380, -1.587, 38.757, -0.698, -0.516, 34.667, -23.400, 37.047, -29.880, 31.45,,,,,,,,,,,,,,,,
 19:05:56.471,COM14, 2000-00-06 17:25:57.258, 0.034, -0.067, 0.975, 0.122, -0.916, 41.382, -0.736, -0.538, 35.491, -22.927, 37.047, -29.600, 31.49,,,,,,,,,,,,,,,,
 19:05:56.502,COM16, 2000-00-00 00:25:59.570, -0.016, 0.078, 0.952, 10.925, 7.019, 40.894, -2.598, -1.362, 4.131, -2.013, 25.520, -39.007, 31.35,,,,,,,,,,,,,,,,
 19:05:56.502,COM16, 2000-00-00 00:25:59.580, 0.036, 0.078, 0.952, 10.925, 7.019, 40.894, -2.488, -1.274, 4.493, -2.060, 25.520, -39.180, 31.35,,,,,,,,,,,,,,,,
