sample_id,time_s,theta_rad,omega_rad_s,alpha_rad_s2
motiongen_1276,21.266999999999999,3.7829999999999999,1.581,0
motiongen_1277,21.283000000000001,3.8100000000000001,1.581,0
motiongen_1278,21.300000000000001,3.8359999999999999,1.581,0
motiongen_1279,21.317,3.8620000000000001,1.581,0
motiongen_1280,21.332999999999998,3.8889999999999998,1.581,0
motiongen_1281,21.350000000000001,3.915,1.581,0
motiongen_1282,21.367000000000001,3.9409999999999998,1.581,0
motiongen_1283,21.382999999999999,3.968,1.581,0
motiongen_1284,21.399999999999999,3.9940000000000002,1.581,0
motiongen_1285,21.417000000000002,4.0199999999999996,1.581,0
motiongen_1286,21.433,4.0469999999999997,1.581,0
motiongen_1287,21.449999999999999,4.0730000000000004,1.581,0
motiongen_1288,21.466999999999999,4.0990000000000002,1.581,0
motiongen_1289,21.483000000000001,4.1260000000000003,1.581,0
motiongen_1290,21.5,4.1520000000000001,1.581,0
motiongen_1291,21.516999999999999,4.1779999999999999,1.581,0
motiongen_1292,21.533000000000001,4.2050000000000001,1.581,0
motiongen_1293,21.550000000000001,4.2309999999999999,1.581,0
motiongen_1294,21.567,4.258,1.581,0
motiongen_1295,21.582999999999998,4.2839999999999998,1.581,0
motiongen_1296,21.600000000000001,4.3099999999999996,1.581,0
motiongen_1297,21.617000000000001,4.3369999999999997,1.581,0
motiongen_1298,21.632999999999999,4.3630000000000004,1.581,0
motiongen_1299,21.649999999999999,4.3890000000000002,1.581,0
motiongen_1300,21.667000000000002,4.4160000000000004,1.581,0
motiongen_1301,21.683,4.4420000000000002,1.581,0
motiongen_1302,21.699999999999999,4.468,1.581,0
motiongen_1303,21.716999999999999,4.4950000000000001,1.581,0
motiongen_1304,21.733000000000001,4.5209999999999999,1.581,0
motiongen_1305,21.75,4.5469999999999997,1.581,0
motiongen_1306,21.766999999999999,4.5739999999999998,1.581,0
motiongen_1307,21.783000000000001,4.5999999999999996,1.581,0
motiongen_1308,21.800000000000001,4.6269999999999998,1.581,0
motiongen_1309,21.817,4.6529999999999996,1.581,0
motiongen_1310,21.832999999999998,4.6790000000000003,1.581,0
motiongen_1311,21.850000000000001,4.7060000000000004,1.581,0
motiongen_1312,21.867000000000001,4.7320000000000002,1.581,0
motiongen_1313,21.882999999999999,4.758,1.581,0
motiongen_1314,21.899999999999999,4.7850000000000001,1.581,0
motiongen_1315,21.917000000000002,4.8109999999999999,1.581,0
motiongen_1316,21.933,4.8369999999999997,1.581,0
motiongen_1317,21.949999999999999,4.8639999999999999,1.581,0
motiongen_1318,21.966999999999999,4.8899999999999997,1.581,0
motiongen_1319,21.983000000000001,4.9160000000000004,1.581,0
motiongen_1320,22,4.9429999999999996,1.581,0
motiongen_1321,22.016999999999999,4.9690000000000003,1.581,0
motiongen_1322,22.033000000000001,4.9950000000000001,1.581,0
motiongen_1323,22.050000000000001,5.0220000000000002,1.581,0
motiongen_1324,22.067,5.048,1.581,0
motiongen_1325,22.082999999999998,5.0750000000000002,1.581,0
motiongen_1326,22.100000000000001,5.101,1.581,0
motiongen_1327,22.117000000000001,5.1269999999999998,1.581,0
motiongen_1328,22.132999999999999,5.1539999999999999,1.581,0
motiongen_1329,22.149999999999999,5.1799999999999997,1.581,0
motiongen_1330,22.167000000000002,5.2060000000000004,1.581,0
motiongen_1331,22.183,5.2329999999999997,1.581,0
motiongen_1332,22.199999999999999,5.2590000000000003,1.581,0
motiongen_1333,22.216999999999999,5.2850000000000001,1.581,0
motiongen_1334,22.233000000000001,5.3120000000000003,1.581,0
motiongen_1335,22.25,5.3380000000000001,1.581,0
motiongen_1336,22.266999999999999,5.3639999999999999,1.581,0
motiongen_1337,22.283000000000001,5.391,1.581,0
motiongen_1338,22.300000000000001,5.4169999999999998,1.581,0
motiongen_1339,22.317,5.444,1.581,0
motiongen_1340,22.332999999999998,5.4699999999999998,1.581,0
motiongen_1341,22.350000000000001,5.4960000000000004,1.581,0
motiongen_1342,22.367000000000001,5.5229999999999997,1.581,0
motiongen_1343,22.382999999999999,5.5490000000000004,1.581,0
motiongen_1344,22.399999999999999,5.5750000000000002,1.581,0
motiongen_1345,22.417000000000002,5.6020000000000003,1.581,0
motiongen_1346,22.433,5.6280000000000001,1.581,0
motiongen_1347,22.449999999999999,5.6539999999999999,1.581,0
motiongen_1348,22.466999999999999,5.681,1.581,0
motiongen_1349,22.483000000000001,5.7069999999999999,1.581,0
motiongen_1350,22.5,5.7329999999999997,1.581,0
motiongen_1351,22.516999999999999,5.7599999999999998,1.581,0
motiongen_1352,22.533000000000001,5.7859999999999996,1.581,0
motiongen_1353,22.550000000000001,5.8120000000000003,1.581,0
motiongen_1354,22.567,5.8390000000000004,1.581,0
motiongen_1355,22.582999999999998,5.8650000000000002,1.581,0
motiongen_1356,22.600000000000001,5.8920000000000003,1.581,0
motiongen_1357,22.617000000000001,5.9180000000000001,1.581,0
motiongen_1358,22.632999999999999,5.944,1.581,0
motiongen_1359,22.649999999999999,5.9710000000000001,1.581,0
motiongen_1360,22.667000000000002,5.9969999999999999,1.581,0
motiongen_1361,22.683,6.0229999999999997,1.581,0
motiongen_1362,22.699999999999999,6.0499999999999998,1.581,0
motiongen_1363,22.716999999999999,6.0759999999999996,1.581,0
motiongen_1364,22.733000000000001,6.1020000000000003,1.581,0
motiongen_1365,22.75,6.1289999999999996,1.581,0
motiongen_1366,22.766999999999999,6.1550000000000002,1.581,0
motiongen_1367,22.783000000000001,6.181,1.581,0
motiongen_1368,22.800000000000001,6.2080000000000002,1.581,0
motiongen_1369,22.817,6.234,1.581,0
motiongen_1370,22.832999999999998,6.2599999999999998,1.581,0
motiongen_1371,22.850000000000001,0.0040000000000000001,1.581,0
motiongen_1372,22.867000000000001,0.029999999999999999,1.581,0
motiongen_1373,22.882999999999999,0.056000000000000001,1.581,0
motiongen_1374,22.899999999999999,0.083000000000000004,1.581,0
motiongen_1375,22.917000000000002,0.109,1.581,0
motiongen_1376,22.933,0.13500000000000001,1.581,0
motiongen_1377,22.949999999999999,0.16200000000000001,1.581,0
motiongen_1378,22.966999999999999,0.188,1.581,0
motiongen_1379,22.983000000000001,0.215,1.581,0
motiongen_1380,23,0.24099999999999999,1.581,0
motiongen_1381,23.016999999999999,0.26700000000000002,1.581,0
motiongen_1382,23.033000000000001,0.29399999999999998,1.581,0
motiongen_1383,23.050000000000001,0.32000000000000001,1.581,0
motiongen_1384,23.067,0.34599999999999997,1.581,0
motiongen_1385,23.082999999999998,0.373,1.581,0
motiongen_1386,23.100000000000001,0.39900000000000002,1.581,0
motiongen_1387,23.117000000000001,0.42499999999999999,1.581,0
motiongen_1388,23.132999999999999,0.45200000000000001,1.581,0
motiongen_1389,23.149999999999999,0.47799999999999998,1.581,0
motiongen_1390,23.167000000000002,0.504,1.581,0
motiongen_1391,23.183,0.53100000000000003,1.581,0
motiongen_1392,23.199999999999999,0.55700000000000005,1.581,0
motiongen_1393,23.216999999999999,0.58299999999999996,1.581,0
motiongen_1394,23.233000000000001,0.60999999999999999,1.581,0
motiongen_1395,23.25,0.63600000000000001,1.581,0
motiongen_1396,23.266999999999999,0.66300000000000003,1.581,0
motiongen_1397,23.283000000000001,0.68899999999999995,1.581,0
motiongen_1398,23.300000000000001,0.71499999999999997,1.581,0
motiongen_1399,23.317,0.74199999999999999,1.581,0
motiongen_1400,23.332999999999998,0.76800000000000002,1.581,0
motiongen_1401,23.350000000000001,0.79400000000000004,1.581,0
motiongen_1402,23.367000000000001,0.82099999999999995,1.581,0
motiongen_1403,23.382999999999999,0.84699999999999998,1.581,0
motiongen_1404,23.399999999999999,0.873,1.581,0
motiongen_1405,23.417000000000002,0.90000000000000002,1.581,0
motiongen_1406,23.433,0.92600000000000005,1.581,0
motiongen_1407,23.449999999999999,0.95199999999999996,1.581,0
motiongen_1408,23.466999999999999,0.97899999999999998,1.581,0
motiongen_1409,23.483000000000001,1.0049999999999999,1.581,0
motiongen_1410,23.5,1.0309999999999999,1.581,0
motiongen_1411,23.516999999999999,1.0580000000000001,1.581,0
motiongen_1412,23.533000000000001,1.0840000000000001,1.581,0
motiongen_1413,23.550000000000001,1.111,1.581,0
motiongen_1414,23.567,1.137,1.581,0
motiongen_1415,23.582999999999998,1.163,1.581,0
motiongen_1416,23.600000000000001,1.1899999999999999,1.581,0
motiongen_1417,23.617000000000001,1.216,1.581,0
motiongen_1418,23.632999999999999,1.242,1.581,0
motiongen_1419,23.649999999999999,1.2689999999999999,1.581,0
motiongen_1420,23.667000000000002,1.2949999999999999,1.581,0
motiongen_1421,23.683,1.321,1.581,0
motiongen_1422,23.699999999999999,1.3480000000000001,1.581,0
motiongen_1423,23.716999999999999,1.3740000000000001,1.581,0
motiongen_1424,23.733000000000001,1.3999999999999999,1.581,0
motiongen_1425,23.75,1.427,1.581,0
motiongen_1426,23.766999999999999,1.4530000000000001,1.581,0
motiongen_1427,23.783000000000001,1.48,1.581,0
motiongen_1428,23.800000000000001,1.506,1.581,0
motiongen_1429,23.817,1.532,1.581,0
motiongen_1430,23.832999999999998,1.5589999999999999,1.581,0
motiongen_1431,23.850000000000001,1.585,1.581,0
motiongen_1432,23.867000000000001,1.611,1.581,0
motiongen_1433,23.882999999999999,1.6379999999999999,1.581,0
motiongen_1434,23.899999999999999,1.6639999999999999,1.581,0
motiongen_1435,23.917000000000002,1.6899999999999999,1.581,0
motiongen_1436,23.933,1.7170000000000001,1.581,0
motiongen_1437,23.949999999999999,1.7430000000000001,1.581,0
motiongen_1438,23.966999999999999,1.7689999999999999,1.581,0
motiongen_1439,23.983000000000001,1.796,1.581,0
motiongen_1440,24,1.8220000000000001,1.581,0
motiongen_1441,24.016999999999999,1.8480000000000001,1.581,0
motiongen_1442,24.033000000000001,1.875,1.581,0
motiongen_1443,24.050000000000001,1.901,1.581,0
motiongen_1444,24.067,1.9279999999999999,1.581,0
motiongen_1445,24.082999999999998,1.954,1.581,0
motiongen_1446,24.100000000000001,1.98,1.581,0
motiongen_1447,24.117000000000001,2.0070000000000001,1.581,0
motiongen_1448,24.132999999999999,2.0329999999999999,1.581,0
motiongen_1449,24.149999999999999,2.0590000000000002,1.581,0
motiongen_1450,24.167000000000002,2.0859999999999999,1.581,0
motiongen_1451,24.183,2.1120000000000001,1.581,0
motiongen_1452,24.199999999999999,2.1379999999999999,1.581,0
motiongen_1453,24.216999999999999,2.165,1.581,0
motiongen_1454,24.233000000000001,2.1909999999999998,1.581,0
motiongen_1455,24.25,2.2170000000000001,1.581,0
motiongen_1456,24.266999999999999,2.2440000000000002,1.581,0
motiongen_1457,24.283000000000001,2.27,1.581,0
motiongen_1458,24.300000000000001,2.2970000000000002,1.581,0
motiongen_1459,24.317,2.323,1.581,0
motiongen_1460,24.332999999999998,2.3490000000000002,1.581,0
motiongen_1461,24.350000000000001,2.3759999999999999,1.581,0
motiongen_1462,24.367000000000001,2.4020000000000001,1.581,0
motiongen_1463,24.382999999999999,2.4279999999999999,1.581,0
motiongen_1464,24.399999999999999,2.4550000000000001,1.581,0
motiongen_1465,24.417000000000002,2.4809999999999999,1.581,0
motiongen_1466,24.433,2.5070000000000001,1.581,0
motiongen_1467,24.449999999999999,2.5339999999999998,1.581,0
motiongen_1468,24.466999999999999,2.5600000000000001,1.581,0
motiongen_1469,24.483000000000001,2.5859999999999999,1.581,0
motiongen_1470,24.5,2.613,1.581,0
motiongen_1471,24.516999999999999,2.6389999999999998,1.581,0
motiongen_1472,24.533000000000001,2.665,1.581,0
motiongen_1473,24.550000000000001,2.6920000000000002,1.581,0
motiongen_1474,24.567,2.718,1.581,0
motiongen_1475,24.582999999999998,2.7450000000000001,1.581,0
motiongen_1476,24.600000000000001,2.7709999999999999,1.581,0
motiongen_1477,24.617000000000001,2.7970000000000002,1.581,0
motiongen_1478,24.632999999999999,2.8239999999999998,1.581,0
motiongen_1479,24.649999999999999,2.8500000000000001,1.581,0
motiongen_1480,24.667000000000002,2.8759999999999999,1.581,0
motiongen_1481,24.683,2.903,1.581,0
motiongen_1482,24.699999999999999,2.9289999999999998,1.581,0
motiongen_1483,24.716999999999999,2.9550000000000001,1.581,0
motiongen_1484,24.733000000000001,2.9820000000000002,1.581,0
motiongen_1485,24.75,3.008,1.581,0
motiongen_1486,24.766999999999999,3.0339999999999998,1.581,0
motiongen_1487,24.783000000000001,3.0609999999999999,1.581,0
motiongen_1488,24.800000000000001,3.0870000000000002,1.581,0
motiongen_1489,24.817,3.113,1.581,0
motiongen_1490,24.832999999999998,3.1400000000000001,1.581,0
motiongen_1491,24.850000000000001,3.1659999999999999,1.581,0
motiongen_1492,24.867000000000001,3.1930000000000001,1.581,0
motiongen_1493,24.882999999999999,3.2189999999999999,1.581,0
motiongen_1494,24.899999999999999,3.2450000000000001,1.581,0
motiongen_1495,24.917000000000002,3.2719999999999998,1.581,0
motiongen_1496,24.933,3.298,1.581,0
motiongen_1497,24.949999999999999,3.3239999999999998,1.581,0
motiongen_1498,24.966999999999999,3.351,1.581,0
motiongen_1499,24.983000000000001,3.3769999999999998,1.581,0
motiongen_1500,25,3.403,1.581,0
motiongen_1501,25.016999999999999,3.4300000000000002,1.581,0
motiongen_1502,25.033000000000001,3.456,1.581,0
motiongen_1503,25.050000000000001,3.4820000000000002,1.581,0
motiongen_1504,25.067,3.5089999999999999,1.581,0
motiongen_1505,25.082999999999998,3.5350000000000001,1.581,0
motiongen_1506,25.100000000000001,3.5619999999999998,1.581,0
motiongen_1507,25.117000000000001,3.5880000000000001,1.581,0
motiongen_1508,25.132999999999999,3.6139999999999999,1.581,0
motiongen_1509,25.149999999999999,3.641,1.581,0
motiongen_1510,25.167000000000002,3.6669999999999998,1.581,0
motiongen_1511,25.183,3.6930000000000001,1.581,0
motiongen_1512,25.199999999999999,3.7200000000000002,1.581,0
motiongen_1513,25.216999999999999,3.746,1.581,0
motiongen_1514,25.233000000000001,3.7719999999999998,1.581,0
motiongen_1515,25.25,3.7989999999999999,1.581,0
motiongen_1516,25.266999999999999,3.8250000000000002,1.581,0
motiongen_1517,25.283000000000001,3.851,1.581,0
motiongen_1518,25.300000000000001,3.8780000000000001,1.581,0
motiongen_1519,25.317,3.9039999999999999,1.581,0
motiongen_1520,25.332999999999998,3.9300000000000002,1.581,0
motiongen_1521,25.350000000000001,3.9569999999999999,1.581,0
motiongen_1522,25.367000000000001,3.9830000000000001,1.581,0
motiongen_1523,25.382999999999999,4.0099999999999998,1.581,0
motiongen_1524,25.399999999999999,4.0359999999999996,1.581,0
motiongen_1525,25.417000000000002,4.0620000000000003,1.581,0
motiongen_1526,25.433,4.0890000000000004,1.581,0
motiongen_1527,25.449999999999999,4.1150000000000002,1.581,0
motiongen_1528,25.466999999999999,4.141,1.581,0
motiongen_1529,25.483000000000001,4.1680000000000001,1.581,0
motiongen_1530,25.5,4.194,1.581,0
motiongen_1531,25.516999999999999,4.2199999999999998,1.581,0
motiongen_1532,25.533000000000001,4.2469999999999999,1.581,0
motiongen_1533,25.550000000000001,4.2729999999999997,1.581,0
motiongen_1534,25.567,4.2990000000000004,1.581,0
motiongen_1535,25.582999999999998,4.3259999999999996,1.581,0
motiongen_1536,25.600000000000001,4.3520000000000003,1.581,0
motiongen_1537,25.617000000000001,4.3789999999999996,1.581,0
motiongen_1538,25.632999999999999,4.4050000000000002,1.581,0
motiongen_1539,25.649999999999999,4.431,1.581,0
motiongen_1540,25.667000000000002,4.4580000000000002,1.581,0
motiongen_1541,25.683,4.484,1.581,0
motiongen_1542,25.699999999999999,4.5099999999999998,1.581,0
motiongen_1543,25.716999999999999,4.5369999999999999,1.581,0
motiongen_1544,25.733000000000001,4.5629999999999997,1.581,0
motiongen_1545,25.75,4.5890000000000004,1.581,0
motiongen_1546,25.766999999999999,4.6159999999999997,1.581,0
motiongen_1547,25.783000000000001,4.6420000000000003,1.581,0
motiongen_1548,25.800000000000001,4.6680000000000001,1.581,0
motiongen_1549,25.817,4.6950000000000003,1.581,0
motiongen_1550,25.832999999999998,4.7210000000000001,1.581,0
motiongen_1551,25.850000000000001,4.7469999999999999,1.581,0
motiongen_1552,25.867000000000001,4.774,1.581,0
motiongen_1553,25.882999999999999,4.7999999999999998,1.581,0
motiongen_1554,25.899999999999999,4.827,1.581,0
motiongen_1555,25.917000000000002,4.8529999999999998,1.581,0
motiongen_1556,25.933,4.8789999999999996,1.581,0
motiongen_1557,25.949999999999999,4.9059999999999997,1.581,0
motiongen_1558,25.966999999999999,4.9320000000000004,1.581,0
motiongen_1559,25.983000000000001,4.9580000000000002,1.581,0
motiongen_1560,26,4.9850000000000003,1.581,0
motiongen_1561,26.016999999999999,5.0110000000000001,1.581,0
motiongen_1562,26.033000000000001,5.0369999999999999,1.581,0
motiongen_1563,26.050000000000001,5.0640000000000001,1.581,0
motiongen_1564,26.067,5.0899999999999999,1.581,0
motiongen_1565,26.082999999999998,5.1159999999999997,1.581,0
motiongen_1566,26.100000000000001,5.1429999999999998,1.581,0
motiongen_1567,26.117000000000001,5.1689999999999996,1.581,0
motiongen_1568,26.132999999999999,5.1950000000000003,1.581,0
motiongen_1569,26.149999999999999,5.2220000000000004,1.581,0
motiongen_1570,26.167000000000002,5.2480000000000002,1.581,0
motiongen_1571,26.183,5.2750000000000004,1.581,0
motiongen_1572,26.199999999999999,5.3010000000000002,1.581,0
motiongen_1573,26.216999999999999,5.327,1.581,0
motiongen_1574,26.233000000000001,5.3540000000000001,1.581,0
motiongen_1575,26.25,5.3799999999999999,1.581,0
motiongen_1576,26.266999999999999,5.4059999999999997,1.581,0
motiongen_1577,26.283000000000001,5.4329999999999998,1.581,0
motiongen_1578,26.300000000000001,5.4589999999999996,1.581,0
motiongen_1579,26.317,5.4850000000000003,1.581,0
motiongen_1580,26.332999999999998,5.5119999999999996,1.581,0
motiongen_1581,26.350000000000001,5.5380000000000003,1.581,0
motiongen_1582,26.367000000000001,5.5640000000000001,1.581,0
motiongen_1583,26.382999999999999,5.5910000000000002,1.581,0
motiongen_1584,26.399999999999999,5.617,1.581,0
motiongen_1585,26.417000000000002,5.6440000000000001,1.581,0
motiongen_1586,26.433,5.6699999999999999,1.581,0
motiongen_1587,26.449999999999999,5.6959999999999997,1.581,0
motiongen_1588,26.466999999999999,5.7229999999999999,1.581,0
motiongen_1589,26.483000000000001,5.7489999999999997,1.581,0
motiongen_1590,26.5,5.7750000000000004,1.581,0
